(0.40880791662102844, -0.072007235774842471)	(0.47541070413894215, 0.26294538454958349)	(0.70185886798596087, 0.83701392450590073)	(0.4707382599666296, 0.71209637745300536)	DER_mass_MMC
(0.41216595303592557, -0.15293381328293165)	(0.45362980931521696, 0.20557750172665212)	(0.6933326177297594, 0.82788070894976629)	(0.47200721241564214, 0.78123847679349834)	DER_mass_transverse_met_lep
(0.41435760560794943, -0.068004529782889733)	(0.43786345529770643, 0.18139020378996484)	(0.70996582759767846, 0.80794593357177391)	(0.49256192341119354, 0.74627293666928796)	DER_mass_vis
(0.41926758897169508, -0.034619168199686357)	(0.47627905764709971, 0.26296353514626958)	(0.71445446984235195, 0.81786485909101214)	(0.48961937149831175, 0.80632955303360354)	DER_pt_h
(0.41684010688861112, -0.084064412334983629)	(0.4756459480480012, 0.24961639905403743)	(0.72909862270786141, 0.83766930643685222)	(0.46814174918215506, 0.7038507217596911)	DER_deltaeta_jet_jet
(0.41508249778632267, -0.12508180922847956)	(0.47534530575701744, 0.23179762869814002)	(0.71645570071602604, 0.84741275490590651)	(0.47698265167034071, 0.69528075250359545)	DER_mass_jet_jet
(0.41612401472055366, -0.098228731583567708)	(0.47796872757075592, 0.26212344730409143)	(0.72500795261580087, 0.81788269473243025)	(0.50496883334060427, 0.78957088412453846)	DER_prodeta_jet_jet
(0.40353628833602434, -0.060668358034360992)	(0.4501289986556995, 0.20233466182521198)	(0.69616924056716034, 0.86757335051225892)	(0.54632568095285883, 0.7890437112483526)	DER_deltar_tau_lep
(0.42528551530286007, -0.042287612689507981)	(0.47754236048910842, 0.27699438358619055)	(0.73471521572235921, 0.8274184775597645)	(0.5329149613307641, 0.79761181918626312)	DER_pt_tot
(0.42071150847018934, -0.11524490639491525)	(0.47565473619902965, 0.27176151913604141)	(0.71826547137312791, 0.75713782502113991)	(0.53720163128071774, 0.75565892874175167)	DER_sum_pt
(0.41119297266540966, -0.10304383358448099)	(0.46345995364712583, 0.16097244180478043)	(0.71293170257215177, 0.78767221527115472)	(0.52834918539524611, 0.76434163154041457)	DER_pt_ratio_lep_tau
(0.41732300618003343, -0.15304983049761312)	(0.4851049976521094, 0.40819340405939197)	(0.73246793151315426, 0.84730973845135482)	(0.52508381125657733, 0.73583197602489325)	DER_met_phi_centrality
(0.4170464878081051, -0.074731242736300274)	(0.4766828017031039, 0.25894176319097895)	(0.71683132130192107, 0.76765958204412832)	(0.53754995587937771, 0.7870983730075416)	DER_lep_eta_centrality
(0.4198802021783784, -0.079778690415205133)	(0.47565473619902965, 0.27176574661894115)	(0.72656413300159806, 0.85768495286123947)	(0.50987463271395728, 0.74107711921189234)	PRI_tau_pt
(0.4183084095650732, -0.036784522179971191)	(0.47693031788322948, 0.27021763743456351)	(0.72458657867180409, 0.78780269339070519)	(0.517870600264422, 0.78269219322464356)	PRI_tau_eta
(0.41986591308566551, -0.075763048597195848)	(0.47814123159758026, 0.26539610895934995)	(0.73246431824980318, 0.8478570397425258)	(0.52877425805520506, 0.75493447342257258)	PRI_tau_phi
(0.42121586515959519, -0.032688941078205858)	(0.47565473619902965, 0.27176534369600613)	(0.71427204342362371, 0.81770511454509964)	(0.5389325626928102, 0.76588843875128343)	PRI_lep_pt
(0.41720332506103902, -0.02355410501248123)	(0.47638242066364545, 0.26837652895141417)	(0.71768995715232009, 0.80774929149381092)	(0.53668536495949004, 0.8127403506772195)	PRI_lep_eta
(0.42116043662155572, -0.076425519265834296)	(0.47626715985309143, 0.26109326502487473)	(0.71553087023905182, 0.84762515710663078)	(0.53255161175541754, 0.76159727222515095)	PRI_lep_phi
(0.42186031393611506, -0.040385239558917263)	(0.47645653691008333, 0.26672855463964584)	(0.72959806304409291, 0.83752651106773091)	(0.51812075623215637, 0.77944520941245332)	PRI_met
(0.42254304943971127, -0.040060731570221719)	(0.4746084681096146, 0.23722471003759793)	(0.72865570068567309, 0.82797440379192011)	(0.5109049266218062, 0.73112718611100269)	PRI_met_phi
(0.4229351376488123, -0.043571950724576425)	(0.47647109086563005, 0.25615014953700221)	(0.72078118489981513, 0.77705568224792321)	(0.51281675411807959, 0.78198999630295218)	PRI_met_sumet
(0.42381541170601461, -0.077960494209042608)	(0.47500201803694303, 0.24151345896189458)	(0.72612417938320895, 0.88782817537732206)	(0.45833502027996686, 0.68208197283826633)	PRI_jet_num
(0.42199838112125559, -0.058975521751884585)	(0.47737455163082393, 0.25915285099230534)	(0.72404587878860527, 0.82786875597057719)	(0.47116618956154727, 0.74212000774778453)	PRI_jet_leading_pt
(0.43113355855790886, -0.056829219184914237)	(0.47664902846880663, 0.26701552498297776)	(0.71974844406785909, 0.81804299867656471)	(0.47620345982978152, 0.76559703008509916)	PRI_jet_leading_eta
(0.42723655546525874, -0.073674634150426854)	(0.47664463720648914, 0.26869050291726282)	(0.71869858820161114, 0.84796138673263466)	(0.47780617030949529, 0.7469824949415147)	PRI_jet_leading_phi
(0.42040019123845501, -0.092508763962952045)	(0.47563796113760454, 0.23873400935225675)	(0.71793823197381668, 0.84788730981886806)	(0.50592339874842018, 0.78763575957166376)	PRI_jet_subleading_pt
(0.4180200334845508, -0.082119240018590389)	(0.47719464018203239, 0.26800707997624418)	(0.71508848674135406, 0.80789276505689533)	(0.52914077385315172, 0.76591765091307906)	PRI_jet_subleading_eta
(0.42305861900611691, -0.030339992184732267)	(0.476845484509623, 0.26977695756059372)	(0.71838805848860232, 0.83771863508400579)	(0.50200395009061471, 0.72935679238770357)	PRI_jet_subleading_phi
