keine	0.75711260819463466	0.89425773869344172
N,D	0.0	-1.51612056243e-12
G,D	0.0	-1.51612056243e-12
N,D,G	0.0	-1.51612056243e-12
G,N,D	0.0	-1.51612056243e-12
G,D,N	0.0	-1.51612056243e-12
D,N	0.291189562639	-0.0930322815119
D	0.292366269184	-0.114182635188
D,G,N	0.296969843902	-0.0954662703562
D,N,G	0.297792136263	-0.124933307661
D,G	0.298803377349	-0.225651036198
N,G,D	0.324768961748	-0.702152728752
N	0.668548182841	0.773357330291
N,G	0.67485851319	0.749189445961
G	0.678327938382	0.738939469546
G,N	0.678327938382	0.73893961121
