keine	0.47726358770391764	0.26868340670167967
D,N,G	0.442597903735	0.24677234049
D,G	0.442636226669	0.246969793958
D,G,N	0.442636226669	0.24696979957
G	0.448928302691	0.269137144578
G,N	0.448928302691	0.26913717759
G,D	0.448928302691	0.269137165029
G,N,D	0.448928302691	0.269137194838
G,D,N	0.448928302691	0.269137148714
N,G	0.449107964245	0.251311340343
N,G,D	0.449107964245	0.251311397579
N,D,G	0.451324054763	0.294676292134
N	0.49601429973	0.374645680616
D	0.49601429973	0.374645815201
N,D	0.49601429973	0.374645699449
D,N	0.49601429973	0.374645990258
